outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities
1998,January,1389,35.0,0.0
1998,February,1147,19.0,1.0
1998,March,1512,99.0,0.0
1998,April,2400,78.0,0.0
1998,May,2588,73.0,2.0
1998,June,3194,83.0,3.0
1998,July,2663,130.0,0.0
1998,August,3340,68.0,2.0
1998,September,3248,54.0,0.0
1998,October,1817,151.0,22.0
1998,November,2052,60.0,0.0
1998,December,1806,36.0,3.0
1999,January,915,38.0,1.0
1999,February,1233,34.0,1.0
1999,March,1513,18.0,2.0
1999,April,2244,27.0,1.0
1999,May,3077,38.0,0.0
1999,June,2474,82.0,0.0
1999,July,2021,74.0,1.0
1999,August,2371,54.0,1.0
1999,September,2153,94.0,1.0
1999,October,2843,50.0,0.0
1999,November,1744,42.0,0.0
1999,December,2311,47.0,2.0
2000,January,1307,27.0,0.0
2000,February,2738,32.0,2.0
2000,March,2640,31.0,0.0
2000,April,1688,61.0,1.0
2000,May,2553,112.0,10.0
2000,June,1755,66.0,1.0
2000,July,2631,85.0,3.0
2000,August,1707,104.0,0.0
2000,September,1701,37.0,2.0
2000,October,2047,49.0,2.0
2000,November,2695,96.0,1.0
2000,December,2571,28.0,0.0
2001,January,2950,46.0,1.0
2001,February,1413,37.0,0.0
2001,March,2384,40.0,1.0
2001,April,1938,102.0,3.0
2001,May,3772,56.0,0.0
2001,June,2346,62.0,0.0
2001,July,1781,55.0,0.0
2001,August,1398,52.0,0.0
2001,September,1152,94.0,0.0
2001,October,1471,20.0,0.0
2001,November,2298,41.0,6.0
2001,December,2289,60.0,0.0
2002,January,1376,64.0,0.0
2002,February,1273,70.0,1.0
2002,March,2300,26.0,1.0
2002,April,2836,83.0,0.0
2002,May,1594,30.0,0.0
2002,June,2347,115.0,2.0
2002,July,1697,101.0,9.0
2002,August,1585,66.0,0.0
2002,September,2307,34.0,0.0
2002,October,1962,66.0,1.0
2002,November,3096,46.0,0.0
2002,December,2566,33.0,0.0
2003,January,2014,30.0,10.0
2003,February,1658,43.0,2.0
2003,March,1835,70.0,1.0
2003,April,1711,64.0,0.0
2003,May,2504,50.0,2.0
2003,June,2595,50.0,1.0
2003,July,1569,30.0,0.0
2003,August,2643,64.0,3.0
2003,September,1269,66.0,1.0
2003,October,1805,130.0,3.0
2003,November,2362,77.0,1.0
2003,December,1114,13.0,0.0
2004,January,2991,37.0,2.0
2004,February,3193,59.0,8.0
2004,March,2749,47.0,0.0
2004,April,2036,53.0,0.0
2004,May,1495,40.0,0.0
2004,June,3077,103.0,1.0
2004,July,1607,163.0,2.0
2004,August,1611,34.0,3.0
2004,September,1618,60.0,0.0
2004,October,1686,59.0,3.0
2004,November,2668,69.0,3.0
2004,December,4303,55.0,0.0
2005,January,1408,20.0,0.0
2005,February,1169,32.0,0.0
2005,March,2156,27.0,0.0
2005,April,2694,73.0,0.0
2005,May,3140,112.0,1.0
2005,June,1366,60.0,1.0
2005,July,1573,81.0,1.0
2005,August,958,43.0,1.0
2005,September,1219,41.0,2.0
2005,October,1215,32.0,0.0
2005,November,1374,29.0,1.0
2005,December,1489,42.0,1.0
2006,January,2426,74.0,0.0
2006,February,1638,16.0,1.0
2006,March,2012,91.0,0.0
2006,April,3765,56.0,0.0
2006,May,4315,93.0,0.0
2006,June,1974,81.0,0.0
2006,July,1580,91.0,1.0
2006,August,2428,302.0,6.0
2006,September,1131,73.0,2.0
2006,October,1535,51.0,0.0
2006,November,3047,192.0,0.0
2006,December,2805,50.0,0.0
2007,January,2749,71.0,1.0
2007,February,2509,165.0,5.0
2007,March,1216,69.0,1.0
2007,April,1572,56.0,1.0
2007,May,1468,46.0,1.0
2007,June,2163,118.0,4.0
2007,July,2215,98.0,1.0
2007,August,1413,60.0,0.0
2007,September,1265,50.0,0.0
2007,October,1301,46.0,3.0
2007,November,1512,51.0,1.0
2007,December,1587,47.0,0.0
2008,January,1199,24.0,0.0
2008,February,1162,42.0,0.0
2008,March,2052,75.0,2.0
2008,April,4303,354.0,2.0
2008,May,1478,77.0,0.0
2008,June,1507,82.0,0.0
2008,July,1980,54.0,2.0
2008,August,2414,174.0,5.0
2008,September,1581,199.0,9.0
2008,October,2259,74.0,0.0
2008,November,1309,50.0,0.0
2008,December,1845,45.0,2.0
2009,January,1417,21.0,0.0
2009,February,1369,31.0,1.0
2009,March,1325,84.0,0.0
2009,April,1069,42.0,0.0
2009,May,1249,41.0,2.0
2009,June,1282,61.0,0.0
2009,July,1327,88.0,1.0
2009,August,853,82.0,2.0
2009,September,718,25.0,0.0
2009,October,624,13.0,1.0
2009,November,1479,32.0,0.0
2009,December,1101,26.0,0.0
2010,January,1464,42.0,8.0
2010,February,3654,31.0,1.0
2010,March,926,35.0,1.0
2010,April,2032,120.0,0.0
2010,May,1069,34.0,3.0
2010,June,1028,89.0,5.0
2010,July,1008,85.0,0.0
2010,August,1095,76.0,0.0
2010,September,582,20.0,0.0
2010,October,1074,41.0,1.0
2010,November,977,62.0,1.0
2010,December,984,27.0,0.0
2011,January,883,79.0,0.0
2011,February,1903,64.0,1.0
2011,March,971,78.0,4.0
2011,April,1807,64.0,0.0
2011,May,1096,92.0,0.0
2011,June,1336,67.0,1.0
2011,July,1403,224.0,35.0
2011,August,457,45.0,1.0
2011,September,1114,75.0,1.0
2011,October,844,87.0,1.0
2011,November,874,47.0,0.0
2011,December,1590,30.0,1.0
2012,January,2002,93.0,0.0
2012,February,1112,37.0,0.0
2012,March,1234,42.0,5.0
2012,April,1122,45.0,3.0
2012,May,917,50.0,1.0
2012,June,1634,114.0,1.0
2012,July,1406,179.0,5.0
2012,August,1067,45.0,0.0
2012,September,704,59.0,0.0
2012,October,1077,110.0,0.0
2012,November,1305,37.0,4.0
2012,December,1415,48.0,1.0
2013,January,717,28.0,0.0
2013,February,997,24.0,1.0
2013,March,2200,341.0,2.0
2013,April,1401,101.0,1.0
2013,May,1683,82.0,1.0
2013,June,1512,99.0,2.0
2013,July,593,100.0,0.0
2013,August,859,72.0,1.0
2013,September,705,52.0,6.0
2013,October,906,67.0,0.0
2013,November,604,42.0,0.0
2013,December,1254,43.0,0.0
2014,January,1082,19.0,0.0
2014,February,532,23.0,1.0
2014,March,1674,28.0,0.0
2014,April,1627,47.0,3.0
2014,May,1227,140.0,2.0
2014,June,1457,106.0,5.0
2014,July,815,57.0,2.0
2014,August,1010,91.0,1.0
2014,September,671,75.0,0.0
2014,October,726,73.0,7.0
2014,November,1140,30.0,1.0
2014,December,1334,33.0,1.0
2015,January,856,36.0,1.0
2015,February,939,15.0,0.0
2015,March,1479,50.0,0.0
2015,April,1312,105.0,2.0
2015,May,1479,47.0,0.0
2015,June,1585,169.0,4.0
2015,July,1844,269.0,6.0
2015,August,1001,37.0,0.0
2015,September,884,32.0,0.0
2015,October,1440,114.0,0.0
2015,November,778,18.0,0.0
2015,December,1421,31.0,1.0
